message_id	votos	id_user	url	content	author
1080558355526991902	0		https://cdn.discordapp.com/attachments/1072572312769019966/1080558353740218458/LFS_2023-02-20_14-38-44.png	fdsfsd	Not-Daniel
1080559687424024676	0		https://cdn.discordapp.com/attachments/1072572312769019966/1080559685201039490/LFS_2023-02-20_14-38-44.png	fds	Not-Daniel
1080560196016930826	0		https://cdn.discordapp.com/attachments/1072572312769019966/1080560194108538890/LFS_2023-02-20_14-38-44.png	dsads	Not-Daniel
1080562644232192081	0		https://cdn.discordapp.com/attachments/1072572312769019966/1080562642290212884/LFS_2023-02-20_14-38-44.png	dsadsa	<@362958490961969162>
1080562964739932200	0		https://cdn.discordapp.com/attachments/1072572312769019966/1080562962542108682/LFS_2023-02-20_14-38-44.png	dsadsa	<@362958490961969162>
1081265847009558588	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081265845348610048/LFS_2023-02-20_14-39-20.png	kkjj	<@362958490961969162>
1081284293583708320	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081284291293626448/LFS_2023-02-20_14-39-20.png	dsadsa	<@362958490961969162>
1081284444759015424	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081284443068698685/LFS_2023-02-20_14-36-43.png	fdsf	<@362958490961969162>
1081284632403779685	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081284630596034641/LFS_2023-02-20_14-38-44.png	joj	<@362958490961969162>
1081284769939202099	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081284767850430655/LFS_2023-02-20_14-39-20.png	dsada	<@362958490961969162>
1081285232881319997	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081285230721249360/LFS_2023-02-20_14-38-44.png	jhjh	<@362958490961969162>
1081286092214513786	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081286090733912064/LFS_2023-02-20_14-38-44.png	dsadsa	<@362958490961969162>
1081286246820749442	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081286244606156950/LFS_2023-02-20_14-39-20.png	gfd	<@362958490961969162>
1081286419844186132	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081286418023841793/LFS_2023-02-20_14-38-44.png	fdsfds	<@362958490961969162>
1081286980249342072	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081286978110246956/LFS_2023-02-20_14-39-20.png	gfd	<@362958490961969162>
1081287116564205670	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081287114827771964/LFS_2023-02-20_14-39-20.png	dsadsa	<@362958490961969162>
1081289253939589130	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081289252022788186/LFS_2023-02-20_14-38-44.png	fdgfd	<@362958490961969162>
1081289440267337749	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081289438103093310/LFS_2023-02-20_14-38-44.png	gfdgfd	<@362958490961969162>
1081289799983439983	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081289797982769152/LFS_2023-02-20_14-38-44.png	fdfd	<@362958490961969162>
1081291586626916352	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081291584450068480/LFS_2023-02-20_14-38-44.png	fgdgd	<@362958490961969162>
1081298190302720020	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081298188071358554/LFS_2023-02-20_14-38-44.png	fdsdfs	<@362958490961969162>
1081322060548161566	0		https://cdn.discordapp.com/attachments/1072572312769019966/1081322058430038026/LFS_2023-02-20_14-39-20.png	fsfsdf	<@362958490961969162>
